,species,group,lcat,Afghanistan,Albania,Algeria,American Samoa (US),Andorra,Angola,Anguilla (UK),Antigua and Barbuda,Argentina,Armenia,Aruba (Neth.),Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Belarus,Belgium,Belize,Benin,Bermuda (UK),Bhutan,Bolivia,Bonaire (Neth.),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands (UK),Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands (UK),Central African Republic,Chad,Chile,China,Clipperton Island (Fr.),Colombia,"Congo, Democratic Republic of","Congo, Rep. of",Cook Islands (NZ),Costa Rica,Croatia,Cuba,Curaçao (Neth.),Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Republic of",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faroe Islands (Den.),Fiji,Finland,France,French Polynesia (Fr.),French Southern and Antarctic Lands (Fr.),Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar (UK),Greece,Greenland (Den.),Grenada,Guam (US),Guantanamo Bay (US),Guatemala,Guernsey (UK),Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong (SAR, China)",Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Isle of Man (UK),Israel,Italy,Jamaica,Japan,Jarvis Island (US),Jersey (UK),Johnston Atoll (US),Jordan,Kazakhstan,Kenya,Kingman Reef (US),Kiribati,"Korea, Democratic People's Republic of","Korea, Republic of",Kosovo,Kuwait,Kyrgyz Republic,Lao People's Democratic Republic,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Luxembourg,"Macau (SAR, China)",Malaysia,Mali,Malta,Mauritania,Mexico,Midway Islands (US),Moldova,Monaco,Mongolia,Montenegro,Montserrat (UK),Morocco,Myanmar,Namibia,Navassa Island (US),Nepal,Netherlands,New Caledonia (Fr.),New Zealand,Nicaragua,Niger,Nigeria,Niue (NZ),Norfolk Island (Aus.),North Macedonia,Northern Mariana Islands (US),Norway,Oman,Pakistan,Palmyra Atoll (US),Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands (UK),Poland,Portugal,Puerto Rico (US),Qatar,Romania,Russian Federation,Rwanda,Saba (Neth.),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Saint-Barthélemy (Fr.),Saint-Martin (Fr.),Saint-Pierre-et-Miquelon (Fr.),Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Sint Eustatius (Neth.),Sint Maarten (Neth.),Slovak Republic,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,São Tomé and Príncipe,Tajikistan,Tanzania,Thailand,Togo,Tokelau (NZ),Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands (UK),Tuvalu,U.S. Virgin Islands (US),Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Vatican City,"Venezuela, Republica Bolivariana de",Vietnam,West Bank and Gaza,"Yemen, Republic of",Barbados,Christmas Island (Aus.),Comoros,Côte d'Ivoire,Lesotho,Liberia,Madagascar,Malawi,Maldives,"Micronesia, Federated States of",Mozambique,Palau,Sierra Leone,Solomon Islands,eSwatini,Zambia,Zimbabwe,Mauritius,South Georgia and South Sandwich Islands (UK),Timor-Leste,British Indian Ocean Territory (UK),Cocos (Keeling) Islands (Aus.),Falkland Islands (UK)/Islas Malvinas,Marshall Islands,Nauru,Seychelles,Wallis-et-Futuna (Fr.),"Saint Helena, Ascension and Tristan da Cunha (UK)",Heard Island and McDonald Islands (Aus.),Wake Island (US),Baker Island (US),Howland Island (US),,Percentage
3521,Lecidella subviridis,Fungi,Land_Coast,,,,,,,,,,,,,1.696233581,,,,,1.4306296,,,,,,,,,,,,,,,,,,,7.682402614,,,,,,,,,,,,,,,,3.822529099,1.866552639,,,,,,,,,2.255551261,,,,0.00050808,,,,,,,7.037584512,,,,,,,,,,,,,,,,,,,,,,,,,0.067447827,,,,,,,,,,,,,,,,,2.741988105,,,,3.130657831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18000034,,,,,,,,,,15.45157729,,,,0.024818877,1.261320079,,,,,,,,,,,,,,,,,0.611500145,,,,,,,,,11.1703061,,,,,,,,,,,,,,,,,,2.733821371,,,26.83457065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
3522,Lecidella tumidula,Fungi,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.84945984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.15054016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
3526,Lecidella wulfenii,Fungi,Land_Coast,,0.201009653,,,0.005100987,,,,,,,,0.94627473,,,,,0.105128481,0.345281733,,,,,,,0.584350088,,,,,0.000163724,,,,,,40.71518632,,,,,,,,,,,,0.62087992,,,,0.886861722,0.48010528,,,,,,,,,0.122860739,,,,2.54271725,5.466691499,,,,,,4.026369095,,,,0.646450043,,,,,,,,,,,,0.956094561,0.909268156,,,,,,,,2.707478119,,,,,,,,,,,,,0.123092041,,,,0.263941149,,,0.001546438,0.51991227,0.029372366,,,,,,,,,0.00021244,,0.154828662,,,,,,,0.417543235,,1.023414305,,,,,,0.213106252,,4.038206059,,,,,,,,,,3.288360339,,,,0.090324119,3.886705374,,,,,,,,,,0.000680119,,,0.724780447,,,,0.505666521,0.229087115,,,,0.374499767,,,,5.010628396,0.466902339,,,,,,,,,,,,,,,,,,,1.867910247,14.50100776,,,,1.38E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
3527,Lecidella xylogena,Fungi,Land_Coast,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
3563,Lecocarpus leptolobus,Plants,Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
3564,Lecocarpus pinnatifidus,Plants,Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
7872,Leptasterias pusilla,Other_Animals,Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
9347,Anchoviella alleni,Fish,Land,,,,,,,,,,,,,,,,,,,,,,,,4.382375091,,,,77.56848117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.593488317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.45565542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
9350,Anchoviella carrikeri,Fish,Land,,,,,,,,,,,,,,,,,,,,,,,,14.90679509,,,,84.01522117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.077983739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
9353,Anchoviella guianensis,Fish,Land_Coast,,,,,,,,,,,,,,,,,,,,,,,,1.981240018,,,,65.4715602,,,,,,,,,,,,,,,,10.13895795,,,,,,,,,,,,,,,,,,,,,,,,1.582405424,,,,,,,,,,,,,,,,,,4.017752041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.471795221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.760661824,,,,,,,,,,,,,,,,,,,,,,,,,,,12.57562732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
